# a	b	verdict (R=same question incl. same reused passage set; V=same problem, numbers/names changed; F=false match, only template shared)	zone
# 261 further candidate pairs (cos<0.7, jac<0.15, <12 content words) rejected as a group after a read sample was all false
2018#29	2022#30	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2019#5	2023#104	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#15	2017#93	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2016#40	2019#107	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2016#96	2018#3	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2023#35	2024#43	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#45	2023#112	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2018#104	2020#11	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2017#3	2020#43	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2008#42	2013#5	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2018#96	2022#71	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2011#1	2018#37	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2018#76	2020#10	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#55	2023#1	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2011#107	2016#10	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#14	2017#94	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2014#9	2019#101	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2016#41	2019#107	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2023#84	2024#81	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2019#94	2022#90	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2018#84	2020#14	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2016#42	2019#107	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2011#11	2021#47	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2021#80	2023#108	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2018#71	2022#20	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2009#62	2012#87	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2018#32	2020#87	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2008#114	2012#111	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#46	2023#120	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2009#61	2012#88	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2019#13	2023#103	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2008#110	2017#30	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2017#105	2018#89	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#12	2017#92	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2018#113	2020#21	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2011#72	2013#63	R	A:auto(jac>=0.45, 14/14 sampled genuine)
